"ID","SampleName","Tree_Type","Rhizosphere_Manipulation","Substrate_Type","InjectionVol_ul","FAME_compound","Sample_Dilution","Peak_Area","d13","Atom_per_13C","FAME_per_C","Dry_Soil_Mass_g","nmol_FAME_per_g_soil","Microbial_Group"
40,"01.13.2","P","2","S",2,"17:0",0,9.311,-15.932,1.088235,0.76,6.008,1870.07,"bacteria"
41,"01.13.2","P","2","S",2,"18:3n6",0,0.967,-7.891,1.097029,0.7765,6.008,194.21,"fungi"
42,"01.13.2","P","2","S",2,"trans-18:1n9",0,7.987,0.292,1.105978,0.7697,6.008,1519.76,"gram-bacteria"
43,"01.13.2","P","2","S",2,"18:0",0,7.323,73.693,1.186171,0.7645,6.008,1393.43,"bacteria"
44,"01.13.2","P","2","S",2,"19:0cy",0,32.807,-30.438,1.072366,0.7736,6.008,5930.46,"gram-bacteria"
45,"01.13.2","P","2","S",2,"19:0",0,21.825,-30.585,1.072205,0.8216,6.008,3945.3,"standard"
46,"01.13.2","P","2","S",2,"20:4n6",0,1.252,-22.933,1.080576,0.7919,6.008,215.56,"protozoa"
47,"01.13.2","P","2","S",2,"20:5n3",0,3.083,-27.948,1.07509,0.797,6.008,530.76,"protozoa"
48,"01.13.3","P","3","S",2,"12:0",0,14.982,-31.141,1.071596,0.7285,6.002,6359.39,"standard"
49,"01.13.3","P","3","S",2,"14:0",0,2.528,-18.416,1.085518,0.7432,6.002,930.1,"bacteria"
50,"01.13.3","P","3","S",2,"a15:0",0,37.532,-20.079,1.083699,0.7494,6.002,12945.4,"gram+bacteria"
51,"01.13.3","P","3","S",2,"15:0",0,4.031,-20.629,1.083097,0.7494,6.002,1390.36,"bacteria"
52,"01.13.3","P","3","S",2,"16:1n9/i16:0",0,2.821,88.656,1.202503,0.7606,6.002,915.79,"bacteria"
53,"01.13.3","P","3","S",2,"16:0",0,29.174,-6.97,1.098036,0.755,6.002,9469.95,"bacteria"
54,"01.13.3","P","3","S",2,"i17:0",0,7.677,-32.55,1.070054,0.76,6.002,2353.52,"gram+bacteria"
55,"01.13.3","P","3","S",2,"17:0cy",0,8.058,-21.404,1.082249,0.7654,6.002,2470.39,"gram-bacteria"
56,"01.13.3","P","3","S",2,"17:0",0,6.401,-27.395,1.075694,0.76,6.002,1962.33,"bacteria"
57,"01.13.3","P","3","S",2,"trans-18:1n9",0,8.874,-20.238,1.083525,0.7697,6.002,2577.37,"gram-bacteria"
58,"01.13.3","P","3","S",2,"18:0",0,8.124,-8.908,1.095917,0.7645,6.002,2359.55,"bacteria"
59,"01.13.3","P","3","S",2,"19:0cy",0,29.943,-34.337,1.068099,0.7736,6.002,8261.95,"gram-bacteria"
