"ID","SampleName","InjectionVol_ul","FAME_compound","Sample_Dilution","Peak_Area","d13","Atom_per_13C","FAME_per_C"
127,"11.06.2","3 ul","15:0",0,2.26,3.545,1.109534,"0.7494"
128,"11.06.2","3 ul","16:1n9/i16:0",0,3.852,113.782,1.229915,"0.7606"
129,"11.06.2","3 ul","16:0",0,32.518,2.419,1.108304,"0.755"
130,"11.06.2","3 ul","i17:0",0,2.008,-13.443,1.090958,"0.76"
131,"11.06.2","3 ul","17:0cy",0,10.153,-6.25,1.098824,"0.7654"
132,"11.06.2","3 ul","17:0",0,7.814,-16.495,1.087619,"0.76"
133,"11.06.2","3 ul","18:3n6",0,0.501,12.694,1.119536,"0.7765"
134,"11.06.2","3 ul","trans-18:1n9",0,8.512,12.918,1.119782,"0.7697"
135,"11.06.2","3 ul","18:0",0,7.41,26.387,1.134503,"0.7645"
136,"11.06.2","3 ul","19:0cy",0,38.44,-32.837,1.069741,"0.7736"
137,"11.06.2","3 ul","19:0",0,15.921,-33.195,1.069349,"0.8216"
138,"11.06.2","3 ul","20:4n6",0,0.651,-6.599,1.098443,"0.7919"
139,"11.06.2","3 ul","20:5n3",0,0.408,-26.087,1.077126,"0.797"
140,"11.10.1","2.5 ul","12:0",0,13.502,-30.343,1.072469,"0.7285"
141,"11.10.1","2.5 ul","14:0",0,1.709,0.839,1.106576,"0.7432"
142,"11.10.1","2.5 ul","a15:0",0,38.955,-17.251,1.086792,"0.7494"
143,"11.10.1","2.5 ul","15:0",0,3.82,-9.598,1.095163,"0.7494"
144,"11.10.1","2.5 ul","16:1n9/i16:0",0,4.454,37.219,1.146338,"0.7606"
145,"11.10.1","2.5 ul","16:0",0,43.355,56.616,1.167526,"0.755"
146,"11.10.1","2.5 ul","i17:0",0,7.022,-28.132,1.074889,"0.76"
147,"11.10.1","2.5 ul","17:0cy",0,12.06,-14.826,1.089445,"0.7654"
148,"11.10.1","2.5 ul","17:0",0,9.166,-20.171,1.083598,"0.76"
149,"11.10.1","2.5 ul","18:3n6",0,0.79,-4.087,1.10119,"0.7765"
150,"11.10.1","2.5 ul","trans-18:1n9",0,13.029,70.904,1.183126,"0.7697"
151,"11.10.1","2.5 ul","18:0",0,8.72,75.561,1.18821,"0.7645"
152,"11.10.1","2.5 ul","19:0cy",0,43.986,-23.512,1.079943,"0.7736"
153,"11.10.1","2.5 ul","19:0",0,14.435,-29.674,1.073202,"0.8216"
154,"11.10.1","2.5 ul","20:4n6",0,0.86,-24.357,1.079019,"0.7919"
155,"11.10.1","2.5 ul","20:5n3",0,1.024,-29.803,1.07306,"0.797"
156,"11.10.3","2.5 ul","12:0",0,14.193,-30.625,1.072161,"0.7285"
157,"11.10.3","2.5 ul","14:0",0,3.342,-7.183,1.097804,"0.7432"
158,"11.10.3","2.5 ul","a15:0",0,56.994,-17.058,1.087003,"0.7494"
159,"11.10.3","2.5 ul","15:0",0,6.753,-15.168,1.089071,"0.7494"
160,"11.10.3","2.5 ul","16:1n9/i16:0",0,8.452,11.33,1.118045,"0.7606"
161,"11.10.3","2.5 ul","16:0",0,77.291,12.923,1.119787,"0.755"
162,"11.10.3","2.5 ul","i17:0",0,11.218,-30.664,1.072118,"0.76"
163,"11.10.3","2.5 ul","17:0cy",0,17.01,-22.578,1.080965,"0.7654"
164,"11.10.3","2.5 ul","17:0",0,12.139,-26.38,1.076806,"0.76"
165,"11.10.3","2.5 ul","18:3n6",0,0.943,-22.546,1.081,"0.7765"
166,"11.10.3","2.5 ul","trans-18:1n9",0,35.516,-6.403,1.098657,"0.7697"
167,"11.10.3","2.5 ul","18:0",0,19.332,19.093,1.126531,"0.7645"
