Core_ID,Clean_Core_ID,Mesh_Type,Label_Type,Core_Depth_cm,d13_day1,atom_percent_day1,ppmv_day1,d13_day2,atom_percent_day2,ppmv_day2,d13_day3,atom_percent_day3,ppmv_day3,d13_day4,atom_percent_day4,ppmv_day4,d13_day5,atom_percent_day5,ppmv_day5,d13_day6,atom_percent_day6,ppmv_day6,d13_day7,atom_percent_day7,ppmv_day7,d13_day9,atom_percent_day9,ppmv_day9,Core_Volume_m3,Gas_Moles,C13_ug_D1,C13_ug_D2,C13_ug_D3,C13_ug_D4,C13_ug_D5,C13_ug_D6,C13_ug_D7,C13_ug_D9,Total_13C_ug,PeakDay_13C_CO2_ug
48.1.2,48.01.2,2,starch,6.5,-10.84,1.093815,921.9895324,-10.30719046,1.094396684,620.8725909,-10.14378033,1.094575404,850.0973731,3.36,1.109343,1060.4,-15.75688399,1.088436036,952.8060516,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.000127627,1.77E-05,0.001635317,0.001101231,0.001507803,0.001880813,0.001689975,NA,NA,NA,1.125380029,0.15857725
48.1.3,48.01.3,3,starch,6.5,-12.22,1.092305,733.7229193,-12.34491005,1.092167995,645.3848413,-13.63385005,1.090758208,713.9878168,4.93,1.111057,634.1,-8.998406555,1.095828071,627.4509584,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.000127627,1.77E-05,0.001301392,0.001144708,0.001266388,0.001124692,0.001112899,NA,NA,NA,0.856811251,0.164837931
52.4.1,52.04.1,1,starch,6,30.03,1.138492,890.0766186,89.84873527,1.20381529,678.90319,179.3039322,1.301339057,671.1109571,101.7,1.216746,707.3,20.56125007,1.128145747,597.9266185,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00011781,1.64E-05,0.001457274,0.001111531,0.001098773,0.001158024,0.000978953,NA,NA,NA,0.835855891,0.160060488
52.4.2,52.04.2,2,starch,4,-1.61,1.103906,1026.969314,5.618924144,1.11181189,1109.003123,15.05163541,1.122123668,850.7238843,15.15,1.122233,595.4,299.9791335,1.432594123,653.8035854,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.85E-05,1.09E-05,0.001120934,0.001210474,0.000928563,0.000649877,0.000713625,NA,NA,NA,0.665779958,0.174308192
52.4.3,52.04.3,3,starch,5,41.43,1.150945,657.8367512,68.14572353,1.180125679,709.3281398,35.81078415,1.14480986,678.0417371,6.58,1.112857,726.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.82E-05,1.36E-05,0.000897534,0.000967787,0.000925101,0.000991079,NA,NA,NA,NA,0.687251457,0.139361313
55.11.1,55.11.1,1,starch,6,5.32,1.111488,634.6558371,156.2176321,1.276188884,619.3846268,-6.987248072,1.098027547,653.2553881,-11.61,1.09297,624.6,-5.996198262,1.099111359,595.4205737,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00011781,1.64E-05,0.001039087,0.001014085,0.001069539,0.001022624,0.00097485,NA,NA,NA,0.737306586,0.146028192
55.11.2,55.11.2,2,starch,5,2.63,1.108545,717.6294131,25.45391283,1.133492876,689.3580955,-0.727023857,1.104873331,730.2379508,-5.81,1.099314,746,-10.72671262,1.093937854,686.1863826,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.82E-05,1.36E-05,0.000979113,0.00094054,0.000996316,0.001017821,0.000936213,NA,NA,NA,0.701280401,0.13543781
55.11.3,55.11.3,3,starch,4,-7.94,1.096986,597.3784212,20.94343677,1.128563455,621.3033174,-8.159083022,1.096745997,602.5862955,-12.04,1.092498,604.9,-3.116160874,1.102260834,625.1015415,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.85E-05,1.09E-05,0.000652037,0.000678151,0.000657721,0.000660247,0.000682296,NA,NA,NA,0.479585017,0.0976537
1.5.1,01.05.1,1,leaf,5,73.75,1.18624,1012.872812,NA,NA,NA,NA,NA,NA,-4.47,1.100782,760.3,NA,NA,NA,4.811007947,1.110928581,1125.683984,-0.665228085,1.104940902,722.2107762,35.15,1.144085,978.8,9.82E-05,1.36E-05,0.001381935,NA,NA,0.001037331,NA,0.001535851,0.000985364,0.001335447,1.615951753,0.192304303
1.5.2,01.05.2,2,leaf,5,3.32,1.109294,739.1265783,NA,NA,NA,NA,NA,NA,-6.77,1.098265,807.7,NA,NA,NA,-8.626690336,1.0962346,376.4549123,NA,NA,NA,-5.96,1.099149,855.7,9.82E-05,1.36E-05,0.001008443,NA,NA,0.001102003,NA,0.000513624,NA,0.001167492,1.226482945,0.168118913
1.5.3,01.05.3,3,leaf,7,-11.25,1.093362,587.3933991,NA,NA,NA,NA,NA,NA,-12.17,1.092364,661,NA,NA,NA,-10.88233374,1.09376765,661.5175045,NA,NA,NA,-12.24,1.092277,654.8,0.000137445,1.91E-05,0.001121992,NA,NA,0.001262589,NA,0.001263578,NA,0.001250746,1.612161949,0.180107479
11.10.1,11.10.1,1,leaf,5,13.54,1.12047,1051.677349,NA,NA,NA,NA,NA,NA,-9.52,1.095252,1141.3,NA,NA,NA,-10.87437027,1.09377636,1107.084433,27.73421155,1.135984787,1013.02944,26.2,1.134313,1158.7,9.82E-05,1.36E-05,0.001434878,NA,NA,0.001557157,NA,0.001510474,0.001382148,0.001580897,1.968658454,0.227649158
11.10.2,11.10.2,2,leaf,3.5,18.15,1.125514,685.9514409,NA,NA,NA,NA,NA,NA,8.48,1.114935,756.7,NA,NA,NA,6.782421806,1.113083934,801.346971,11.99670402,1.118784272,712.3823818,8.33,1.114776,793.9,6.87E-05,9.55E-06,0.000655125,NA,NA,0.000722694,NA,0.000765334,0.000680368,0.000758222,0.943298862,0.10918397
11.10.3,11.10.3,3,leaf,4.5,-10.2,1.094516,1238.495155,NA,NA,NA,NA,NA,NA,-13.4,1.091015,1238.7,NA,NA,NA,-14.79598654,1.089487078,1422.297876,-11.03261409,1.093603287,1245.856662,-10.46,1.094232,1384,8.84E-05,1.23E-05,0.00152079,NA,NA,0.001521042,NA,0.001746488,0.00152983,0.001699461,2.08881272,0.244722354
12.1.1,12.01.1,1,leaf,7,-0.9,1.104685,710.1895927,NA,NA,NA,NA,NA,NA,-9.14,1.095673,835,NA,NA,NA,-9.980289994,1.094754211,839.4075259,63.96155358,1.175557202,725.8523725,39.71,1.149072,998.7,0.000137445,1.91E-05,0.001356547,NA,NA,0.00159495,NA,0.001603369,0.001386465,0.001907637,2.095181673,0.274699663
12.1.2,12.01.2,2,leaf,5,-6.23,1.098861,647.0685901,NA,NA,NA,NA,NA,NA,-11.43,1.093171,680,NA,NA,NA,-8.622477509,1.096239208,798.0969442,2.010217542,1.107866307,645.6589399,7.7,1.114086,748.6,9.82E-05,1.36E-05,0.000882842,NA,NA,0.000927772,NA,0.0010889,0.000880918,0.001021368,1.262536575,0.147077034
12.1.3,12.01.3,3,leaf,5,-2.45,1.102984,627.9208418,NA,NA,NA,NA,NA,NA,-9.43,1.095351,657.2,NA,NA,NA,-11.29263296,1.093318901,757.3737168,-1.122771733,1.104440594,626.6286625,-3.41,1.101937,709.3,9.82E-05,1.36E-05,0.000856717,NA,NA,0.000896665,NA,0.001033339,0.000854954,0.000967749,1.210153009,0.139355785
12.5.1,12.05.1,1,leaf,6.5,225.83,1.351986,666.0205537,NA,NA,NA,NA,NA,NA,-8.5,1.096372,718.2,NA,NA,NA,-6.502786495,1.098557357,685.8339701,51.45270941,1.161896927,639.6679267,92.36,1.206552,854.1,0.000127627,1.77E-05,0.001181309,NA,NA,0.001273859,NA,0.001216452,0.001134568,0.001514902,1.670423261,0.21814593
