"Sample_Name","Tree","Rhizosphere_Manipulation","Microbial_Group","umol_FAME","ln_FAME"
"02.08.2","G","2","FUNGI",3.83745,1.34480808351247
"02.08.3","G","3","FUNGI",6.99805,1.94563153881851
"02.10.1","G","1","FUNGI",1.50971,0.411917579402165
"02.10.3","G","3","FUNGI",1.20419,0.185807141745336
"03.07.2","P","2","FUNGI",1.01564,0.0155189556576706
"03.07.3","P","3","FUNGI",3.09468,1.12968450822252
"05.03.1","P","1","FUNGI",1.46841,0.384180182750832
"05.03.2","P","2","FUNGI",1.62767,0.487149544330676
"05.03.3","P","3","FUNGI",1.61918,0.481919848256069
"05.09.2","P","2","FUNGI",1.00824,0.00820623654709928
"05.09.3","P","3","FUNGI",1.71003,0.536510914220326
"06.06.1","P","1","FUNGI",5.20298,1.64923153836459
"06.06.2","P","2","FUNGI",3.0948,1.12972328369316
"06.06.3","P","3","FUNGI",5.51182,1.70689487715492
"10.02.1","G","1","FUNGI",3.05912,1.1181272929054
"10.02.2","G","2","FUNGI",3.25288,1.17954075778528
"10.02.3","G","3","FUNGI",5.00718,1.6108728823721
"11.06.2","G","2","FUNGI",1.83242,0.605637497618343
"11.06.3","G","3","FUNGI",6.60425,1.88771338118631
"11.10.1","G","1","FUNGI",3.65783,1.29687007540597
"11.10.3","G","3","FUNGI",5.98802,1.78976080656516
"12.01.2","G","2","FUNGI",3.61583,1.28532142815044
"12.01.3","G","3","FUNGI",6.01611,1.79444087105485
"12.05.2","G","2","FUNGI",4.17876,1.43001455180943
"12.05.3","G","3","FUNGI",0.73215,-0.311769867980871
"12.09.1","G","1","FUNGI",6.6687,1.89742493838284
"12.09.2","G","2","FUNGI",2.90722,1.06719729810776
"12.09.3","G","3","FUNGI",3.98191,1.3817616036789
"14.10.1","G","1","FUNGI",1.5267,0.42310854328076
"14.10.2","G","2","FUNGI",3.77617,1.32871026845627
"14.10.3","G","3","FUNGI",1.39859,0.335464586254918
"15.16.2","P","2","FUNGI",0.1278,-2.0572887370387
"17.01.1","G","1","FUNGI",1.98628,0.686263542593619
"17.01.1b","G","1","FUNGI",2.70651,0.995659982056863
"17.01.3","G","3","FUNGI",0.99239,-0.00763910379728359
"17.06.1","P","1","FUNGI",2.00386,0.695075320502834
"17.06.2","P","2","FUNGI",5.70351,1.74108177479365
"17.06.3","P","3","FUNGI",1.57573,0.45471865696182
"18.05.1","P","1","FUNGI",1.72856,0.547288691955278
"18.05.2","P","2","FUNGI",6.61875,1.88990653036758
"18.05.3","P","3","FUNGI",2.70001,0.993255476707128
"20.04.1","P","1","FUNGI",2.76701,1.01776731482067
"20.04.2","P","2","FUNGI",4.01497,1.39002987539073
"22.07.2","G","2","FUNGI",5.03319,1.6160539779261
"22.07.3","G","3","FUNGI",3.17033,1.15383568341743
"24.02.1","G","1","FUNGI",3.06694,1.12068032184979
"24.02.2","G","2","FUNGI",2.61553,0.96146675384495
"24.02.3","G","3","FUNGI",2.76801,1.01812865046566
"28.01.2","P","2","FUNGI",0.58069,-0.543538227348242
"28.01.3","P","3","FUNGI",2.33739,0.849034922249874
"34.06.1","G","1","FUNGI",5.32513,1.67243712444303
"34.06.3","G","3","FUNGI",1.87903,0.630755686243203
"37.04.1","P","1","FUNGI",2.15061,0.765751522828632
"37.04.2","P","2","FUNGI",4.34071,1.46803792920224
"37.04.3","P","3","FUNGI",2.22905,0.801575485735817
"43.02.1","G","1","FUNGI",3.02026,1.10534292039624
"43.02.2","G","2","FUNGI",2.30648,0.835722552831384
"43.02.3","G","3","FUNGI",1.92343,0.654110050554247
"46.03.2","P","2","FUNGI",0.39703,-0.92374343439934
"46.03.3","P","3","FUNGI",5.45456,1.69645195608684
"48.01.1","G","1","FUNGI",2.10684,0.745189194586981
"48.01.3","G","3","FUNGI",2.61486,0.96121055879882
"52.04.1","P","1","FUNGI",1.93407,0.659626590791819
"52.04.2","P","2","FUNGI",1.26295,0.233450254302849
"52.04.3","P","3","FUNGI",1.00566,0.00564404238508504
"55.11.1","P","1","FUNGI",1.85667,0.618784560601608
"55.11.2","P","2","FUNGI",4.24815,1.44648359405069
"58.05.1","P","1","FUNGI",1.45136,0.372501047884497
"58.05.2","P","2","FUNGI",1.21014,0.190736055394973
"58.05.3","P","3","FUNGI",3.04675,1.11407544872147
"63.04.2","P","2","FUNGI",2.49935,0.916030698068295
"01.05.1","G","1","ALL_MICROBES",43.75892,3.77869547773604
"01.05.3","G","3","ALL_MICROBES",35.01171,3.55568257696145
"01.13.1","P","1","ALL_MICROBES",41.26751,3.72007550756097
"01.13.2","P","2","ALL_MICROBES",54.91933,4.00586538126235
"01.13.3","P","3","ALL_MICROBES",31.33967,3.4448847071979
"02.08.1","G","1","ALL_MICROBES",33.24757,3.50398168172443
"02.08.2","G","2","ALL_MICROBES",82.58138,4.41378423138637
"02.08.3","G","3","ALL_MICROBES",146.78302,4.98895544191547
"02.10.1","G","1","ALL_MICROBES",38.18914,3.64255118199984
"02.10.3","G","3","ALL_MICROBES",31.55519,3.45173807625084
"03.07.2","P","2","ALL_MICROBES",26.26747,3.2683312914844
"03.07.3","P","3","ALL_MICROBES",57.44792,4.05087879824334
"05.03.1","P","1","ALL_MICROBES",41.10492,3.71612782236695
"05.03.2","P","2","ALL_MICROBES",40.93071,3.71188063704333
"05.03.3","P","3","ALL_MICROBES",41.04131,3.71457912043105
"05.09.2","P","2","ALL_MICROBES",22.02744,3.09228894888715
"05.09.3","P","3","ALL_MICROBES",40.4828,3.70087719254755
"06.06.1","P","1","ALL_MICROBES",109.97441,4.70024770236474
"06.06.2","P","2","ALL_MICROBES",29.55379,3.38621199281906
"06.06.3","P","3","ALL_MICROBES",122.27608,4.806281438936
"10.02.1","G","1","ALL_MICROBES",67.92781,4.21844552361389
"10.02.2","G","2","ALL_MICROBES",64.8509,4.17209078884657
"10.02.3","G","3","ALL_MICROBES",115.03799,4.74526242163651
"11.06.2","G","2","ALL_MICROBES",59.9953,4.09426622582055
"11.06.3","G","3","ALL_MICROBES",309.41603,5.73468674675163
"11.10.1","G","1","ALL_MICROBES",81.3019,4.39816938651439
