"ID","SampleName","Injection_vol_ul","FAME_compound","Sample_Dilution","Peak_Area","d13","Atom_per_13C","FAME_per_C","Dry_Soil_Mass_g","ID.1","SampleName.1","Injection_vol_ul.1","FAME_compound.1","Sample_Dilution.1","Peak_Area.1","d13.1","Atom_per_13C.1","FAME_per_C.1","Dry_Soil_Mass_g.1","StandardRatio","ugC_FAME_compound","Total_C_ug"
95,"02.08.1",3,"18:2n9,12 and cis-18:1n9 and 183n3",0,7.519,167.034,1.287962,0.775,6.004,95,"02.08.1",3,"18:2n9,12 and cis-18:1n9 and 183n3",0,7.519,167.034,1.287962,0.775,6.004,0.28905,26.0128,2601.28
96,"02.08.1",3,"18:0",0,6.701,256.925,1.385793,0.7645,6.004,96,"02.08.1",3,"18:0",0,6.701,256.925,1.385793,0.7645,6.004,0.28905,23.1828,2318.28
97,"02.08.1",3,"19:0cy",0,26.491,-1.891,1.10359,0.7736,6.004,97,"02.08.1",3,"19:0cy",0,26.491,-1.891,1.10359,0.7736,6.004,0.28905,91.6485,9164.85
98,"02.08.1",3,"19:0",0,16.918,-27.714,1.075346,0.8216,6.004,98,"02.08.1",3,"19:0",0,16.918,-27.714,1.075346,0.8216,6.004,0.28905,58.5297,5852.97
99,"02.08.1",3,"20:4n6",0,0.78,-21.569,1.082069,0.7919,6.004,99,"02.08.1",3,"20:4n6",0,0.78,-21.569,1.082069,0.7919,6.004,0.28905,2.6985,269.85
100,"02.08.1",3,"20:5n3",0,1.45,-31.553,1.071145,0.797,6.004,100,"02.08.1",3,"20:5n3",0,1.45,-31.553,1.071145,0.797,6.004,0.28905,5.0164,501.64
101,"02.08.2",3,"12:0",0,16.54,-31.564,1.071133,0.7285,6.003,101,"02.08.2",3,"12:0",0,16.54,-31.564,1.071133,0.7285,6.003,0.2945,56.163,5616.3
102,"02.08.2",3,"14:0",0,3.173,21.752,1.129437,0.7432,6.003,102,"02.08.2",3,"14:0",0,3.173,21.752,1.129437,0.7432,6.003,0.2945,10.7742,1077.42
103,"02.08.2",3,"a15:0",0,49.215,-2.035,1.103433,0.7494,6.003,103,"02.08.2",3,"a15:0",0,49.215,-2.035,1.103433,0.7494,6.003,0.2945,167.1138,16711.38
104,"02.08.2",3,"15:0",0,6.361,-2.033,1.103435,0.7494,6.003,104,"02.08.2",3,"15:0",0,6.361,-2.033,1.103435,0.7494,6.003,0.2945,21.5993,2159.93
105,"02.08.2",3,"16:1n9/i16:0",0,9.255,67.205,1.179089,0.7606,6.003,105,"02.08.2",3,"16:1n9/i16:0",0,9.255,67.205,1.179089,0.7606,6.003,0.2945,31.4261,3142.61
106,"02.08.2",3,"16:1w5",0,12.231,3.22,1.10918,0.7554,6.003,106,"02.08.2",3,"16:1w5",0,12.231,3.22,1.10918,0.7554,6.003,0.2945,41.5314,4153.14
107,"02.08.2",3,"16:0",0,68.84,91.233,1.205315,0.755,6.003,107,"02.08.2",3,"16:0",0,68.84,91.233,1.205315,0.755,6.003,0.2945,233.7521,23375.21
108,"02.08.2",3,"i17:0",0,10.095,-26.288,1.076906,0.76,6.003,108,"02.08.2",3,"i17:0",0,10.095,-26.288,1.076906,0.76,6.003,0.2945,34.2784,3427.84
109,"02.08.2",3,"17:0cy",0,17.487,-8.824,1.096009,0.7654,6.003,109,"02.08.2",3,"17:0cy",0,17.487,-8.824,1.096009,0.7654,6.003,0.2945,59.3786,5937.86
110,"02.08.2",3,"17:0",0,13.065,-15.569,1.088632,0.76,6.003,110,"02.08.2",3,"17:0",0,13.065,-15.569,1.088632,0.76,6.003,0.2945,44.3633,4436.33
111,"02.08.2",3,"18:3n6",0,0.908,16.415,1.123604,0.7765,6.003,111,"02.08.2",3,"18:3n6",0,0.908,16.415,1.123604,0.7765,6.003,0.2945,3.0832,308.32
112,"02.08.2",3,"trans-18:1n9",0,22.234,55.988,1.16684,0.7697,6.003,112,"02.08.2",3,"trans-18:1n9",0,22.234,55.988,1.16684,0.7697,6.003,0.2945,75.4975,7549.75
113,"02.08.2",3,"18:0",0,21.677,79.111,1.192086,0.7645,6.003,113,"02.08.2",3,"18:0",0,21.677,79.111,1.192086,0.7645,6.003,0.2945,73.6061,7360.61
114,"02.08.2",3,"19:0cy",0,75.379,-21.293,1.08237,0.7736,6.003,114,"02.08.2",3,"19:0cy",0,75.379,-21.293,1.08237,0.7736,6.003,0.2945,255.9559,25595.59
115,"02.08.2",3,"19:0",0,19.62,-30.151,1.072679,0.8216,6.003,115,"02.08.2",3,"19:0",0,19.62,-30.151,1.072679,0.8216,6.003,0.2945,66.6214,6662.14
116,"02.08.2",3,"20:4n6",0,1.567,-12.008,1.092527,0.7919,6.003,116,"02.08.2",3,"20:4n6",0,1.567,-12.008,1.092527,0.7919,6.003,0.2945,5.3209,532.09
117,"02.08.2",3,"20:5n3",0,0.607,-20.28,1.083479,0.797,6.003,117,"02.08.2",3,"20:5n3",0,0.607,-20.28,1.083479,0.797,6.003,0.2945,2.0611,206.11
118,"02.08.3",3,"12:0",0,14.947,-30.611,1.072176,0.7285,6.007,118,"02.08.3",3,"12:0",0,14.947,-30.611,1.072176,0.7285,6.007,0.27445,54.4617,5446.17
119,"02.08.3",3,"14:0",0,4.921,-9.107,1.0957,0.7432,6.007,119,"02.08.3",3,"14:0",0,4.921,-9.107,1.0957,0.7432,6.007,0.27445,17.9304,1793.04
120,"02.08.3",3,"a15:0",0,80.145,-16.425,1.087695,0.7494,6.007,120,"02.08.3",3,"a15:0",0,80.145,-16.425,1.087695,0.7494,6.007,0.27445,292.0204,29202.04
121,"02.08.3",3,"15:0",0,8.762,-12.135,1.092388,0.7494,6.007,121,"02.08.3",3,"15:0",0,8.762,-12.135,1.092388,0.7494,6.007,0.27445,31.9257,3192.57
122,"02.08.3",3,"16:1n9/i16:0",0,15.664,6.036,1.112258,0.7606,6.007,122,"02.08.3",3,"16:1n9/i16:0",0,15.664,6.036,1.112258,0.7606,6.007,0.27445,57.0741,5707.41
123,"02.08.3",3,"16:1w5",0,20.977,-18.728,1.085176,0.7554,6.007,123,"02.08.3",3,"16:1w5",0,20.977,-18.728,1.085176,0.7554,6.007,0.27445,76.4329,7643.29
124,"02.08.3",3,"16:0",0,115.871,10.968,1.11765,0.755,6.007,124,"02.08.3",3,"16:0",0,115.871,10.968,1.11765,0.755,6.007,0.27445,422.1935,42219.35
125,"02.08.3",3,"i17:0",0,15.26,-29.845,1.073015,0.76,6.007,125,"02.08.3",3,"i17:0",0,15.26,-29.845,1.073015,0.76,6.007,0.27445,55.6021,5560.21
