Tree species,Sample Name,Plot,Tree,Core,Hits,AMF ,DSE,Vesicle,Coil,Mircrosclerotia,Arbuscules,Spores,Fungal Conidia,Oomycota,Nematode Cysts,Brown Cysts,Fungal Pathogen (2),Brown Cluster,Brown Cells/Orbs,Old Coils,Ectomycorrhizae,Hartig Net,per_AMF,per_dse,per_ves,per_coil,per_ms,per_arb,per_spore,per_conidia,per_oom,per_nema,per_browncyst,per_FP2,per_browncluster,per_brownorbs,per_oldcoils,per_ecto,per_hartig
Penta,55.11.3,55,11,3,50,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Penta,58.5.1,58,5,1,50,14,16,0,0,1,0,0,1,0,0,2,0,0,3,0,0,0,28,32,0,0,2,0,0,2,0,0,4,0,0,6,0,0,0
Penta,58.5.2,58,5,2,50,13,9,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,26,18,0,0,4,0,0,4,0,0,0,0,0,0,0,0,0
Penta,58.5.3,58,5,3,50,5,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,10,4,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
Penta,63.4.1,63,4,1,50,27,8,1,0,2,0,0,0,0,2,1,0,1,0,0,0,0,54,16,2,0,4,0,0,0,0,4,2,0,2,0,0,0,0
Penta,63.4.2,63,4,2,50,4,2,0,0,7,0,0,2,0,0,0,3,0,0,0,0,0,8,4,0,0,14,0,0,4,0,0,0,6,0,0,0,0,0
Goeth,8.11.2,8,11,2,25,8,6,3,0,2,0,0,1,0,1,1,0,0,0,1,0,0,32,24,12,0,8,0,0,4,0,4,4,0,0,0,4,0,0
Goeth,8.11.3,8,11,3,51,26,19,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,50.98039216,37.25490196,1.960784314,0,0,0,0,0,0,0,1.960784314,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
