"Core_ID","Mesh_Type","Label_Type","Total_13C_FAME_ug","Tree_Species","Total_13C_CO2_ug","Specific_Respiration_CO2_FAME"
"12.05.2",2,"L",971.1917191,"G",1.359340884,0.00139966276201335
"12.05.3",3,"L",278.8509034,"G",1.066963563,0.00382628691530357
"12.09.1",1,"L",2113.849037,"G",1.791050309,0.000847293386448202
"12.09.2",2,"L",936.1934274,"G",1.929438143,0.00206093963761147
"12.09.3",3,"L",1012.706554,"G",1.892718145,0.00186896997706208
"14.10.1",1,"S",743.4136207,"G",1.071938343,0.00144191377875302
"14.10.2",2,"S",660.8863273,"G",0.731791617,0.00110728817766541
"14.10.3",3,"S",561.1414514,"G",0.567560188,0.00101143871404257
"15.16.2",2,"L",355.1413761,"P",1.256106746,0.00353692030986079
"17.01.1",1,"S",872.1306348,"G",0.668880509,0.000766949906711384
"17.01.1b",2,"S",609.0655751,"G",1.134850037,0.00186326412687776
"17.01.3",3,"S",438.4388835,"G",0.614842534,0.00140234490401899
"17.06.1",1,"S",970.6697113,"P",1.107498559,0.00114096334325375
"17.06.2",2,"S",884.4391725,"P",0.788474371,0.000891496436969496
"17.06.3",3,"S",750.9248334,"P",1.016496176,0.00135365902256496
"18.05.1",1,"S",812.6725224,"P",0.833869397,0.00102608292272194
"18.05.2",2,"S",1333.474034,"P",0.628037234,0.000470978225287287
"18.05.3",3,"S",940.1568482,"P",0.60605321,0.000644629894639744
"20.04.1",1,"S",498.6331385,"P",0.945720552,0.00189662595399283
"20.04.2",2,"S",722.0223631,"P",0.650354224,0.000900739723916177
"22.07.2",2,"L",1673.658514,"G",1.994965894,0.00119197905505352
"22.07.3",3,"L",1231.263786,"G",1.444763972,0.00117339922478643
"24.02.1",1,"L",1216.407949,"G",2.031932477,0.00167043669738465
"24.02.2",2,"L",916.2507371,"G",1.009361601,0.00110162159781143
"24.02.3",3,"L",1168.034984,"G",0.607667346,0.00052024755621532
"28.01.2",2,"S",254.2379708,"P",0.711596227,0.00279893764397525
"28.01.3",3,"S",810.6831004,"P",0.813911854,0.00100398275676205
"34.06.1",1,"S",1937.451251,"G",0.693034199,0.00035770407056296
"34.06.3",3,"S",580.2693144,"G",0.630816736,0.00108711027853035
"37.04.1",1,"S",756.3962476,"P",0.58296664,0.000770715933414157
"37.04.2",2,"S",1498.773607,"P",0.988509784,0.000659545764205601
"37.04.3",3,"S",977.848754,"P",1.040591431,0.00106416398931158
"43.02.1",1,"S",537.7700544,"G",1.003890295,0.00186676496168992
"43.02.2",2,"S",735.6291445,"G",0.877235328,0.00119249670103303
"43.02.3",3,"S",607.5401516,"G",1.25832059,0.0020711727228005
"46.03.2",2,"L",195.60122,"P",1.733351803,0.00886166151213167
"46.03.3",3,"L",845.7869503,"P",1.177284005,0.00139193919294028
"48.01.1",1,"S",692.5867474,"G",1.570546479,0.00226765309168259
"48.01.3",3,"S",795.3772815,"G",0.856811251,0.00107723877828663
"52.04.1",1,"S",649.2703751,"P",0.835855891,0.00128737722073221
"52.04.2",2,"S",539.7847452,"P",0.665779958,0.0012334175130372
"52.04.3",3,"S",271.6053421,"P",0.687251457,0.00253033114770978
"55.11.1",1,"S",583.1587366,"P",0.737306586,0.00126433257314935
"55.11.2",2,"S",1255.130774,"P",0.701280401,0.000558730943043549
"58.05.1",1,"L",611.0423977,"P",2.987775484,0.00488963694703701
"58.05.2",2,"L",498.3053887,"P",3.549284574,0.00712270959633714
"58.05.3",3,"L",1234.84693,"P",1.60728389,0.00130160577068447
"63.04.2",2,"L",1013.132656,"P",1.331693543,0.00131443156541585
