Core_ID,Mesh_Type,Label_Type,Core_Depth_cm,d13_day1,atom_percent_day1,ppmv_day1,d13_day2,atom_percent_day2,ppmv_day2,d13_day3,atom_percent_day3,ppmv_day3,d13_day4,atom_percent_day4,ppmv_day4,d13_day5,atom_percent_day5,ppmv_day5,d13_day6,atom_percent_day6,ppmv_day6,d13_day7,atom_percent_day7,ppmv_day7,d13_day9,atom_percent_day9,ppmv_day9
14.10.3,3,starch,4,3.10,1.109061,768.7292321,-10.39292843,1.094302913,730.1596369,44.23091777,1.154008656,692.4514946,-12.49,1.092005,703.2,-12.91251772,1.091547175,716.4547046,,,,,,,,,
15.16.1,1,leaf,6,-1.51,1.104020,639.8245545,,,,,,,19.37,1.126845,663.7,,,,-8.094622594,1.096816494,942.1162044,-10.27842253,1.094428147,749.464013,11.05,1.117753,916.40
15.16.2,2,leaf,5,-0.52,1.105095,605.7971654,,,,,,,8.8,1.115285,667,,,,-6.116023678,1.09898032,758.9008378,-9.983078872,1.094751161,648.5957111,-3.74,1.101584,810.10
15.16.3,3,leaf,4,-3.80,1.101514,604.504986,,,,,,,4.65,1.110751,605.1,,,,-6.857798392,1.098169115,731.7259149,-10.74360948,1.093919374,643.6227786,-2.5,1.102932,723.90
17.1.1,1,starch,5,15.62,1.122747,756.3556361,14.85980315,1.121913979,692.0599251,3.74729543,1.109765582,685.0508311,100.73,1.215684,622.4,-12.97585029,1.091477905,648.6348681,,,,,,,,,
17.1.2,2,starch,8.5,10.63,1.117291,638.3365904,2.198108525,1.108071745,639.7070836,-5.930214865,1.099183518,619.6195685,18.3,1.125675,610.7,-11.22793786,1.093389659,889.4109504,,,,,,,,,
17.1.3,3,starch,3,-10.73,1.093934,1070.159429,,,,-11.57385326,1.093011325,1121.415876,-2.68,1.102734,1027.2,-12.14565775,1.092385925,901.1971922,,,,,,,,,
17.6.1,1,starch,7,-9.93,1.094809,832.6725306,117.1634994,1.233614191,765.1659497,-9.454103252,1.09532969,714.5360141,28,1.136272,676.2,-14.98493959,1.0892804,1037.854946,,,,,,,,,
17.6.2,2,starch,5,-9.52,1.095256,912.5527076,15.98408673,1.123142901,903.4682953,-9.44851885,1.095335798,781.4552407,10.74,1.117405,753.4,-7.340852647,1.097640839,662.3398004,,,,,,,,,
17.6.3,3,starch,8,-12.87,1.091598,649.6921057,29.24849823,1.137639531,631.2491825,-12.40588028,1.092101309,646.2854511,24.59,1.132551,623,-3.32234782,1.102035364,683.4062392,,,,,,,,,
18.5.1,1,starch,6,64.59,1.176240,701.5359068,221.8651062,1.347671548,629.5262767,174.6786664,1.296301327,714.3010724,-1.27,1.104276,685.6,-10.98800701,1.093652075,805.9283341,,,,,,,,,
18.5.2,2,starch,5,40.94,1.150416,617.3484655,49.19493854,1.159430928,617.8575058,35.51894926,1.144491006,652.7463478,-8.26,1.096634,631.6,-1.166121467,1.104393193,677.0628134,,,,,,,,,
18.5.3,3,starch,4,7.69,1.114074,765.9882457,31.14605573,1.139713018,764.970165,13.01550391,1.119897964,847.2780728,-12.33,1.092184,825.7,-0.893837024,1.104690927,651.9632088,,,,,,,,,
19.5.1,1,water,6,,,,-12.91342742,1.09154618,627.9171373,,,,-12.27,1.092245,646,,,,-15.9968359,1.08817357,752.7923537,-13.46907887,1.090938429,640.5293795,-18.35,1.085602,1005.00
19.5.2,2,water,6.5,,,,-9.844887743,1.094902299,812.6453853,,,,-13.75,1.090635,751,,,,-17.44219105,1.086592571,1065.029869,-15.47916412,1.088739812,775.6991691,-18.81,1.085094,1309.00
19.5.3,3,water,7,,,,-11.91759908,1.092635361,572.3794833,,,,-12.04,1.092498,580,,,,-13.26859738,1.091157709,617.6617211,-12.45279086,1.092050001,580.0318926,-13.24,1.091194,606.00
2.5.1,1,water,7.5,-18.96,1.084937,1112.222959,-17.97190101,1.086013137,957.1306838,-18.08543201,1.085888948,1114.328464,808.8,1.982208,965,-17.87180735,1.086122627,931.7396128,,,,,,,,,
